Date : 2019-11-06 18:07:04
Directory : d:\Develop\sinbad-apps\supplier-center
Total : 669 files,  78819 codes, 7465 comments, 7620 blanks, all 93904 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\app\main\pages\catalogues\catalogues.service.ts                                                                    | TypeScript |         30 |         59 |         20 |        109 |
| src\app\main\pages\catalogues\i18n\en.ts                                                                               | TypeScript |         41 |          0 |          2 |         43 |
| src\app\main\pages\catalogues\i18n\id.ts                                                                               | TypeScript |         41 |          0 |          2 |         43 |
| src\app\main\pages\catalogues\models\catalogue.model.ts                                                                | TypeScript |         18 |          0 |          2 |         20 |
| src\app\main\pages\catalogues\models\index.ts                                                                          | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\catalogues\resolvers\breadcrumb.resolver.ts                                                         | TypeScript |         46 |          0 |          4 |         50 |
| src\app\main\pages\catalogues\resolvers\catalogue-status.resolver.ts                                                   | TypeScript |         25 |          0 |          4 |         29 |
| src\app\main\pages\catalogues\resolvers\catalogues.resolver.ts                                                         | TypeScript |         40 |          0 |          6 |         46 |
| src\app\main\pages\catalogues\resolvers\index.ts                                                                       | TypeScript |          3 |          0 |          1 |          4 |
| src\app\main\pages\catalogues\status.ts                                                                                | TypeScript |         51 |          0 |          2 |         53 |
| src\app\main\pages\catalogues\store\actions\catalogue.actions.ts                                                       | TypeScript |         15 |          1 |          4 |         20 |
| src\app\main\pages\catalogues\store\actions\index.ts                                                                   | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\catalogues\store\reducers\catalogue.reducer.ts                                                      | TypeScript |         51 |          0 |         14 |         65 |
| src\app\main\pages\catalogues\store\reducers\index.ts                                                                  | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\catalogues\store\selectors\catalogue.selectors.ts                                                   | TypeScript |         27 |          0 |          9 |         36 |
| src\app\main\pages\catalogues\store\selectors\index.ts                                                                 | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\core\auth\auth-routing.module.ts                                                                    | TypeScript |         20 |          4 |          3 |         27 |
| src\app\main\pages\core\auth\auth.guard.ts                                                                             | TypeScript |         75 |         14 |         16 |        105 |
| src\app\main\pages\core\auth\auth.interceptor.ts                                                                       | TypeScript |         42 |          0 |         11 |         53 |
| src\app\main\pages\core\auth\auth.module.ts                                                                            | TypeScript |          9 |          0 |          3 |         12 |
| src\app\main\pages\core\auth\auth.service.ts                                                                           | TypeScript |         32 |          0 |          7 |         39 |
| src\app\main\pages\core\auth\login\i18n\en.ts                                                                          | TypeScript |          7 |          0 |          2 |          9 |
| src\app\main\pages\core\auth\login\i18n\id.ts                                                                          | TypeScript |          7 |          0 |          3 |         10 |
| src\app\main\pages\core\auth\login\login-routing.module.ts                                                             | TypeScript |         16 |          6 |          4 |         26 |
| src\app\main\pages\core\auth\login\login.component.html                                                                | HTML       |         56 |         31 |         10 |         97 |
| src\app\main\pages\core\auth\login\login.component.scss                                                                | SCSS       |        119 |          0 |         27 |        146 |
| src\app\main\pages\core\auth\login\login.component.ts                                                                  | TypeScript |        112 |         71 |         19 |        202 |
| src\app\main\pages\core\auth\login\login.module.ts                                                                     | TypeScript |         10 |          0 |          2 |         12 |
| src\app\main\pages\core\auth\login\login.theme.scss                                                                    | SCSS       |         27 |          0 |          4 |         31 |
| src\app\main\pages\core\auth\models\auth.model.ts                                                                      | TypeScript |         38 |          0 |          4 |         42 |
| src\app\main\pages\core\auth\models\index.ts                                                                           | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\core\auth\store\actions\auth.actions.ts                                                             | TypeScript |         21 |          0 |          8 |         29 |
| src\app\main\pages\core\auth\store\actions\index.ts                                                                    | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\core\auth\store\effects\auth.effects.ts                                                             | TypeScript |        192 |         93 |         25 |        310 |
| src\app\main\pages\core\auth\store\reducers\auth.reducer.ts                                                            | TypeScript |         55 |          0 |         10 |         65 |
| src\app\main\pages\core\auth\store\reducers\index.ts                                                                   | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\core\auth\store\selectors\auth.selectors.ts                                                         | TypeScript |         11 |          0 |          5 |         16 |
| src\app\main\pages\core\auth\store\selectors\index.ts                                                                  | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\dashboard\dashboard-routing.module.ts                                                               | TypeScript |         20 |          4 |          4 |         28 |
| src\app\main\pages\dashboard\dashboard.component.html                                                                  | HTML       |        376 |         37 |         97 |        510 |
| src\app\main\pages\dashboard\dashboard.component.scss                                                                  | SCSS       |         47 |          0 |          9 |         56 |
| src\app\main\pages\dashboard\dashboard.component.ts                                                                    | TypeScript |         70 |         17 |         16 |        103 |
| src\app\main\pages\dashboard\dashboard.module.ts                                                                       | TypeScript |         28 |          8 |          5 |         41 |
| src\app\main\pages\dashboard\dashboard.service.ts                                                                      | TypeScript |         29 |          0 |          5 |         34 |
